# chi_s   E_scan   ok(1/0)
6.800000000000e-10 6.385012793812e-06 1
6.900000000000e-10 6.385012791501e-06 1
7.000000000000e-10 6.385012793160e-06 1
7.100000000000e-10 6.385012791521e-06 1
7.200000000000e-10 6.385012791540e-06 1
7.300000000000e-10 6.385012793125e-06 1
7.400000000000e-10 6.385012792956e-06 1
7.500000000000e-10 6.385012791590e-06 1
7.600000000000e-10 6.385012791602e-06 1
7.700000000000e-10 6.385012791614e-06 1
7.800000000000e-10 6.385012791732e-06 1
7.900000000000e-10 6.385012792933e-06 1
8.000000000000e-10 6.385012791645e-06 1
8.100000000000e-10 6.385012791660e-06 1
8.200000000000e-10 6.385012791675e-06 1
8.300000000000e-10 6.385012791686e-06 1
8.400000000000e-10 6.385012791708e-06 1
8.500000000000e-10 6.385012791718e-06 1
8.600000000000e-10 6.385012792962e-06 1
8.700000000000e-10 6.385012791740e-06 1
8.800000000000e-10 6.385012791753e-06 1
8.900000000000e-10 6.385012791768e-06 1
9.000000000000e-10 6.385012791784e-06 1
9.100000000000e-10 6.385012791788e-06 1
9.200000000000e-10 6.385012792564e-06 1
9.300000000000e-10 6.385012791803e-06 1
9.400000000000e-10 6.385012791822e-06 1
9.500000000000e-10 6.385012791838e-06 1
9.600000000000e-10 6.385012791852e-06 1
9.700000000000e-10 6.385012791866e-06 1
9.800000000000e-10 6.385012791892e-06 1
9.900000000000e-10 6.385012791900e-06 1
1.000000000000e-09 6.385012791927e-06 1
1.010000000000e-09 6.385012791931e-06 1
1.020000000000e-09 6.385012791973e-06 1
1.030000000000e-09 NaN 0
1.040000000000e-09 6.385012791973e-06 1
1.050000000000e-09 NaN 0
1.060000000000e-09 6.385012792000e-06 1
1.070000000000e-09 6.385012791999e-06 1
1.080000000000e-09 6.385012791996e-06 1
1.090000000000e-09 6.385012791998e-06 1
1.100000000000e-09 6.385012792029e-06 1
1.110000000000e-09 6.385012792044e-06 1
1.120000000000e-09 NaN 0
1.130000000000e-09 6.385012792054e-06 1
1.140000000000e-09 6.385012792074e-06 1
1.150000000000e-09 6.385012792101e-06 1
1.160000000000e-09 6.385012792112e-06 1
1.170000000000e-09 6.385012792124e-06 1
1.180000000000e-09 6.385012792137e-06 1
1.190000000000e-09 6.385012792150e-06 1
1.200000000000e-09 6.385012793290e-06 1
1.210000000000e-09 6.385012792188e-06 1
1.220000000000e-09 6.385012792194e-06 1
1.230000000000e-09 6.385012792204e-06 1
1.240000000000e-09 6.385012792215e-06 1
1.250000000000e-09 6.385012792227e-06 1
1.260000000000e-09 6.385012792239e-06 1
1.270000000000e-09 6.385012792251e-06 1
1.280000000000e-09 6.385012792264e-06 1
1.290000000000e-09 6.385012792265e-06 1
1.300000000000e-09 6.385012792282e-06 1
1.310000000000e-09 6.385012792307e-06 1
1.320000000000e-09 6.385012792302e-06 1
1.330000000000e-09 6.385012792320e-06 1
1.340000000000e-09 6.385012792336e-06 1
1.350000000000e-09 6.385012792350e-06 1
1.360000000000e-09 NaN 0
1.370000000000e-09 6.385012792689e-06 1
1.380000000000e-09 6.385012792407e-06 1
1.390000000000e-09 6.385012792409e-06 1
1.400000000000e-09 6.385012792420e-06 1
1.410000000000e-09 6.385012792431e-06 1
1.420000000000e-09 6.385012792443e-06 1
1.430000000000e-09 6.385012792483e-06 1
1.440000000000e-09 NaN 0
1.450000000000e-09 6.385012792496e-06 1
1.460000000000e-09 NaN 0
1.470000000000e-09 6.385012792533e-06 1
1.480000000000e-09 6.385012792535e-06 1
1.490000000000e-09 NaN 0
1.500000000000e-09 6.385012792553e-06 1
1.510000000000e-09 6.385012792594e-06 1
1.520000000000e-09 6.385012792592e-06 1
1.530000000000e-09 6.385012792595e-06 1
1.540000000000e-09 6.385012792603e-06 1
1.550000000000e-09 6.385012792613e-06 1
1.560000000000e-09 6.385012792639e-06 1
1.570000000000e-09 6.385012792649e-06 1
1.580000000000e-09 6.385012797684e-06 1
1.590000000000e-09 6.385012792622e-06 1
1.600000000000e-09 6.385012792650e-06 1
1.610000000000e-09 NaN 0
1.620000000000e-09 6.385012792685e-06 1
1.630000000000e-09 6.385012792702e-06 1
1.640000000000e-09 6.385012792718e-06 1
1.650000000000e-09 NaN 0
1.660000000000e-09 6.385012792750e-06 1
1.670000000000e-09 6.385012792762e-06 1
1.680000000000e-09 6.385012792775e-06 1
1.690000000000e-09 6.385012792806e-06 1
1.700000000000e-09 6.385012792811e-06 1
1.710000000000e-09 6.385012792819e-06 1
1.720000000000e-09 6.385012792829e-06 1
1.730000000000e-09 6.385012792851e-06 1
1.740000000000e-09 6.385012792864e-06 1
1.750000000000e-09 6.385012792871e-06 1
1.760000000000e-09 6.385012792881e-06 1
1.770000000000e-09 6.385012792892e-06 1
1.780000000000e-09 6.385012792903e-06 1
1.790000000000e-09 6.385012792915e-06 1
1.800000000000e-09 NaN 0
1.810000000000e-09 6.385012792940e-06 1
1.820000000000e-09 6.385012792991e-06 1
1.830000000000e-09 6.385012792988e-06 1
1.840000000000e-09 NaN 0
1.850000000000e-09 NaN 0
1.860000000000e-09 6.385012793008e-06 1
1.870000000000e-09 6.385012793006e-06 1
1.880000000000e-09 6.385012793023e-06 1
1.890000000000e-09 6.385012793038e-06 1
1.900000000000e-09 6.385012793053e-06 1
1.910000000000e-09 6.385012793057e-06 1
1.920000000000e-09 6.385012793074e-06 1
1.930000000000e-09 6.385012793089e-06 1
1.940000000000e-09 6.385012793104e-06 1
1.950000000000e-09 6.385012793393e-06 1
1.960000000000e-09 6.385012793171e-06 1
1.970000000000e-09 6.385012793184e-06 1
1.980000000000e-09 6.385012793180e-06 1
1.990000000000e-09 6.385012793169e-06 1
2.000000000000e-09 6.385012806854e-06 1
