# r  chi  chi_prime  a  a_prime  rho  W
8.603401700850e-03 -8.538214222468e-08 5.734541116353e-09 0.000000000000e+00 0.000000000000e+00 9.997779608733e-06 1.007090887028e+152
9.103601800900e-03 -8.537919044516e-08 6.067850960324e-09 0.000000000000e+00 0.000000000000e+00 9.997513939073e-06 1.007090887028e+152
9.603801900950e-03 -8.537607194813e-08 6.401144261492e-09 0.000000000000e+00 0.000000000000e+00 9.997233264871e-06 1.007090887028e+152
1.010400200100e-02 -8.537278674206e-08 6.734420147607e-09 0.000000000000e+00 0.000000000000e+00 9.996937586973e-06 1.007090887028e+152
1.060420210105e-02 -8.536933483591e-08 7.067677739976e-09 0.000000000000e+00 0.000000000000e+00 9.996626906264e-06 1.007090887028e+152
1.110440220110e-02 -8.536571623904e-08 7.400916155182e-09 0.000000000000e+00 0.000000000000e+00 9.996301223678e-06 1.007090887028e+152
1.160460230115e-02 -8.536193096125e-08 7.734134506300e-09 0.000000000000e+00 0.000000000000e+00 9.995960540193e-06 1.007090887028e+152
1.210480240120e-02 -8.535797901282e-08 8.067331903765e-09 0.000000000000e+00 0.000000000000e+00 9.995604856832e-06 1.007090887028e+152
1.260500250125e-02 -8.535386040444e-08 8.400507456012e-09 0.000000000000e+00 0.000000000000e+00 9.995234174662e-06 1.007090887028e+152
1.310520260130e-02 -8.534957514727e-08 8.733660269940e-09 0.000000000000e+00 0.000000000000e+00 9.994848494797e-06 1.007090887028e+152
1.360540270135e-02 -8.534512325290e-08 9.066789451270e-09 0.000000000000e+00 0.000000000000e+00 9.994447818394e-06 1.007090887028e+152
1.410560280140e-02 -8.534050473338e-08 9.399894104805e-09 0.000000000000e+00 0.000000000000e+00 9.994032146658e-06 1.007090887028e+152
1.460580290145e-02 -8.533571960119e-08 9.732973334641e-09 0.000000000000e+00 0.000000000000e+00 9.993601480835e-06 1.007090887028e+152
1.510600300150e-02 -8.533076786929e-08 1.006602624432e-08 0.000000000000e+00 0.000000000000e+00 9.993155822219e-06 1.007090887028e+152
1.560620310155e-02 -8.532564955106e-08 1.039905193697e-08 0.000000000000e+00 0.000000000000e+00 9.992695172148e-06 1.007090887028e+152
1.610640320160e-02 -8.532036466034e-08 1.073204951537e-08 0.000000000000e+00 0.000000000000e+00 9.992219532006e-06 1.007090887028e+152
1.660660330165e-02 -8.531491321142e-08 1.106501808207e-08 0.000000000000e+00 0.000000000000e+00 9.991728903220e-06 1.007090887028e+152
1.710680340170e-02 -8.530929521902e-08 1.139795673943e-08 0.000000000000e+00 0.000000000000e+00 9.991223287264e-06 1.007090887028e+152
1.760700350175e-02 -8.530351069835e-08 1.173086458966e-08 0.000000000000e+00 0.000000000000e+00 9.990702685655e-06 1.007090887028e+152
1.810720360180e-02 -8.529755966503e-08 1.206374073491e-08 0.000000000000e+00 0.000000000000e+00 9.990167099958e-06 1.007090887028e+152
1.860740370185e-02 -8.529144213514e-08 1.239658427725e-08 0.000000000000e+00 0.000000000000e+00 9.989616531779e-06 1.007090887028e+152
1.910760380190e-02 -8.528515812522e-08 1.272939431873e-08 0.000000000000e+00 0.000000000000e+00 9.989050982774e-06 1.007090887028e+152
1.960780390195e-02 -8.527870765225e-08 1.306216996139e-08 0.000000000000e+00 0.000000000000e+00 9.988470454639e-06 1.007090887028e+152
2.010800400200e-02 -8.527209073366e-08 1.339491030732e-08 0.000000000000e+00 0.000000000000e+00 9.987874949117e-06 1.007090887028e+152
2.060820410205e-02 -8.526530738733e-08 1.372761445862e-08 0.000000000000e+00 0.000000000000e+00 9.987264467998e-06 1.007090887028e+152
2.110840420210e-02 -8.525835763159e-08 1.406028151743e-08 0.000000000000e+00 0.000000000000e+00 9.986639013114e-06 1.007090887028e+152
2.160860430215e-02 -8.525124148522e-08 1.439291058601e-08 0.000000000000e+00 0.000000000000e+00 9.985998586344e-06 1.007090887028e+152
2.210880440220e-02 -8.524395896745e-08 1.472550076663e-08 0.000000000000e+00 0.000000000000e+00 9.985343189610e-06 1.007090887028e+152
2.260900450225e-02 -8.523651009794e-08 1.505805116172e-08 0.000000000000e+00 0.000000000000e+00 9.984672824881e-06 1.007090887028e+152
2.310920460230e-02 -8.522889489683e-08 1.539056087375e-08 0.000000000000e+00 0.000000000000e+00 9.983987494169e-06 1.007090887028e+152
2.360940470235e-02 -8.522111338470e-08 1.572302900533e-08 0.000000000000e+00 0.000000000000e+00 9.983287199532e-06 1.007090887028e+152
2.410960480240e-02 -8.521316558255e-08 1.605545465918e-08 0.000000000000e+00 0.000000000000e+00 9.982571943075e-06 1.007090887028e+152
2.460980490245e-02 -8.520505151187e-08 1.638783693814e-08 0.000000000000e+00 0.000000000000e+00 9.981841726943e-06 1.007090887028e+152
2.511000500250e-02 -8.519677119458e-08 1.672017494518e-08 0.000000000000e+00 0.000000000000e+00 9.981096553331e-06 1.007090887028e+152
2.561020510255e-02 -8.518832465304e-08 1.705246778341e-08 0.000000000000e+00 0.000000000000e+00 9.980336424476e-06 1.007090887028e+152
2.611040520260e-02 -8.517971191008e-08 1.738471455607e-08 0.000000000000e+00 0.000000000000e+00 9.979561342661e-06 1.007090887028e+152
2.661060530265e-02 -8.517093298895e-08 1.771691436657e-08 0.000000000000e+00 0.000000000000e+00 9.978771310213e-06 1.007090887028e+152
2.711080540270e-02 -8.516198791338e-08 1.804906631843e-08 0.000000000000e+00 0.000000000000e+00 9.977966329505e-06 1.007090887028e+152
2.761100550275e-02 -8.515287670752e-08 1.838116951538e-08 0.000000000000e+00 0.000000000000e+00 9.977146402955e-06 1.007090887028e+152
2.811120560280e-02 -8.514359939600e-08 1.871322306127e-08 0.000000000000e+00 0.000000000000e+00 9.976311533024e-06 1.007090887028e+152
2.861140570285e-02 -8.513415600386e-08 1.904522606013e-08 0.000000000000e+00 0.000000000000e+00 9.975461722220e-06 1.007090887028e+152
2.911160580290e-02 -8.512454655661e-08 1.937717761617e-08 0.000000000000e+00 0.000000000000e+00 9.974596973095e-06 1.007090887028e+152
2.961180590295e-02 -8.511477108022e-08 1.970907683377e-08 0.000000000000e+00 0.000000000000e+00 9.973717288247e-06 1.007090887028e+152
3.011200600300e-02 -8.510482960108e-08 2.004092281748e-08 0.000000000000e+00 0.000000000000e+00 9.972822670316e-06 1.007090887028e+152
3.061220610305e-02 -8.509472214605e-08 2.037271467203e-08 0.000000000000e+00 0.000000000000e+00 9.971913121991e-06 1.007090887028e+152
3.111240620310e-02 -8.508444874242e-08 2.070445150237e-08 0.000000000000e+00 0.000000000000e+00 9.970988646002e-06 1.007090887028e+152
3.161260630315e-02 -8.507400941794e-08 2.103613241359e-08 0.000000000000e+00 0.000000000000e+00 9.970049245126e-06 1.007090887028e+152
3.211280640320e-02 -8.506340420081e-08 2.136775651101e-08 0.000000000000e+00 0.000000000000e+00 9.969094922185e-06 1.007090887028e+152
3.261300650325e-02 -8.505263311967e-08 2.169932290014e-08 0.000000000000e+00 0.000000000000e+00 9.968125680044e-06 1.007090887028e+152
3.311320660330e-02 -8.504169620361e-08 2.203083068670e-08 0.000000000000e+00 0.000000000000e+00 9.967141521615e-06 1.007090887028e+152
3.361340670335e-02 -8.503059348217e-08 2.236227897659e-08 0.000000000000e+00 0.000000000000e+00 9.966142449854e-06 1.007090887028e+152
3.411360680340e-02 -8.501932498532e-08 2.269366687594e-08 0.000000000000e+00 0.000000000000e+00 9.965128467761e-06 1.007090887028e+152
3.461380690345e-02 -8.500789074350e-08 2.302499349109e-08 0.000000000000e+00 0.000000000000e+00 9.964099578383e-06 1.007090887028e+152
3.511400700350e-02 -8.499629078759e-08 2.335625792860e-08 0.000000000000e+00 0.000000000000e+00 9.963055784808e-06 1.007090887028e+152
3.561420710355e-02 -8.498452514891e-08 2.368745929523e-08 0.000000000000e+00 0.000000000000e+00 9.961997090173e-06 1.007090887028e+152
3.611440720360e-02 -8.497259385924e-08 2.401859669798e-08 0.000000000000e+00 0.000000000000e+00 9.960923497658e-06 1.007090887028e+152
3.661460730365e-02 -8.496049695078e-08 2.434966924408e-08 0.000000000000e+00 0.000000000000e+00 9.959835010486e-06 1.007090887028e+152
3.711480740370e-02 -8.494823445621e-08 2.468067604097e-08 0.000000000000e+00 0.000000000000e+00 9.958731631928e-06 1.007090887028e+152
3.761500750375e-02 -8.493580640864e-08 2.501161619635e-08 0.000000000000e+00 0.000000000000e+00 9.957613365299e-06 1.007090887028e+152
3.811520760380e-02 -8.492321284163e-08 2.534248881812e-08 0.000000000000e+00 0.000000000000e+00 9.956480213956e-06 1.007090887028e+152
3.861540770385e-02 -8.491045378917e-08 2.567329301446e-08 0.000000000000e+00 0.000000000000e+00 9.955332181304e-06 1.007090887028e+152
3.911560780390e-02 -8.489752928571e-08 2.600402789377e-08 0.000000000000e+00 0.000000000000e+00 9.954169270791e-06 1.007090887028e+152
3.961580790395e-02 -8.488443936616e-08 2.633469256470e-08 0.000000000000e+00 0.000000000000e+00 9.952991485911e-06 1.007090887028e+152
4.011600800400e-02 -8.487118406586e-08 2.666528613615e-08 0.000000000000e+00 0.000000000000e+00 9.951798830202e-06 1.007090887028e+152
4.061620810405e-02 -8.485776342058e-08 2.699580771727e-08 0.000000000000e+00 0.000000000000e+00 9.950591307245e-06 1.007090887028e+152
4.111640820410e-02 -8.484417746657e-08 2.732625641748e-08 0.000000000000e+00 0.000000000000e+00 9.949368920670e-06 1.007090887028e+152
4.161660830415e-02 -8.483042624049e-08 2.765663134644e-08 0.000000000000e+00 0.000000000000e+00 9.948131674148e-06 1.007090887028e+152
4.211680840420e-02 -8.481650977948e-08 2.798693161408e-08 0.000000000000e+00 0.000000000000e+00 9.946879571395e-06 1.007090887028e+152
4.261700850425e-02 -8.480242812110e-08 2.831715633061e-08 0.000000000000e+00 0.000000000000e+00 9.945612616174e-06 1.007090887028e+152
4.311720860430e-02 -8.478818130337e-08 2.864730460650e-08 0.000000000000e+00 0.000000000000e+00 9.944330812290e-06 1.007090887028e+152
4.361740870435e-02 -8.477376936473e-08 2.897737555248e-08 0.000000000000e+00 0.000000000000e+00 9.943034163594e-06 1.007090887028e+152
4.411760880440e-02 -8.475919234411e-08 2.930736827957e-08 0.000000000000e+00 0.000000000000e+00 9.941722673982e-06 1.007090887028e+152
4.461780890445e-02 -8.474445028083e-08 2.963728189906e-08 0.000000000000e+00 0.000000000000e+00 9.940396347394e-06 1.007090887028e+152
4.511800900450e-02 -8.472954321470e-08 2.996711552254e-08 0.000000000000e+00 0.000000000000e+00 9.939055187815e-06 1.007090887028e+152
4.561820910455e-02 -8.471447118595e-08 3.029686826187e-08 0.000000000000e+00 0.000000000000e+00 9.937699199273e-06 1.007090887028e+152
4.611840920460e-02 -8.469923423526e-08 3.062653922920e-08 0.000000000000e+00 0.000000000000e+00 9.936328385844e-06 1.007090887028e+152
4.661860930465e-02 -8.468383240376e-08 3.095612753698e-08 0.000000000000e+00 0.000000000000e+00 9.934942751646e-06 1.007090887028e+152
4.711880940470e-02 -8.466826573301e-08 3.128563229794e-08 0.000000000000e+00 0.000000000000e+00 9.933542300841e-06 1.007090887028e+152
4.761900950475e-02 -8.465253426503e-08 3.161505262513e-08 0.000000000000e+00 0.000000000000e+00 9.932127037638e-06 1.007090887028e+152
4.811920960480e-02 -8.463663804226e-08 3.194438763188e-08 0.000000000000e+00 0.000000000000e+00 9.930696966289e-06 1.007090887028e+152
4.861940970485e-02 -8.462057710762e-08 3.227363643185e-08 0.000000000000e+00 0.000000000000e+00 9.929252091091e-06 1.007090887028e+152
4.911960980490e-02 -8.460435150444e-08 3.260279813897e-08 0.000000000000e+00 0.000000000000e+00 9.927792416386e-06 1.007090887028e+152
4.961980990495e-02 -8.458796127651e-08 3.293187186753e-08 0.000000000000e+00 0.000000000000e+00 9.926317946559e-06 1.007090887028e+152
5.012001000500e-02 -8.457140646805e-08 3.326085673210e-08 0.000000000000e+00 0.000000000000e+00 9.924828686041e-06 1.007090887028e+152
5.062021010505e-02 -8.455468712374e-08 3.358975184756e-08 0.000000000000e+00 0.000000000000e+00 9.923324639307e-06 1.007090887028e+152
5.112041020510e-02 -8.453780328869e-08 3.391855632916e-08 0.000000000000e+00 0.000000000000e+00 9.921805810876e-06 1.007090887028e+152
5.162061030515e-02 -8.452075500846e-08 3.424726929241e-08 0.000000000000e+00 0.000000000000e+00 9.920272205314e-06 1.007090887028e+152
5.212081040520e-02 -8.450354232905e-08 3.457588985320e-08 0.000000000000e+00 0.000000000000e+00 9.918723827227e-06 1.007090887028e+152
5.262101050525e-02 -8.448616529689e-08 3.490441712773e-08 0.000000000000e+00 0.000000000000e+00 9.917160681270e-06 1.007090887028e+152
5.312121060530e-02 -8.446862395887e-08 3.523285023252e-08 0.000000000000e+00 0.000000000000e+00 9.915582772139e-06 1.007090887028e+152
5.362141070535e-02 -8.445091836231e-08 3.556118828445e-08 0.000000000000e+00 0.000000000000e+00 9.913990104577e-06 1.007090887028e+152
5.412161080540e-02 -8.443304855499e-08 3.588943040072e-08 0.000000000000e+00 0.000000000000e+00 9.912382683370e-06 1.007090887028e+152
5.462181090545e-02 -8.441501458510e-08 3.621757569890e-08 0.000000000000e+00 0.000000000000e+00 9.910760513348e-06 1.007090887028e+152
5.512201100550e-02 -8.439681650130e-08 3.654562329688e-08 0.000000000000e+00 0.000000000000e+00 9.909123599388e-06 1.007090887028e+152
5.562221110555e-02 -8.437845435268e-08 3.687357231291e-08 0.000000000000e+00 0.000000000000e+00 9.907471946407e-06 1.007090887028e+152
5.612241120560e-02 -8.435992818877e-08 3.720142186560e-08 0.000000000000e+00 0.000000000000e+00 9.905805559372e-06 1.007090887028e+152
5.662261130565e-02 -8.434123805953e-08 3.752917107390e-08 0.000000000000e+00 0.000000000000e+00 9.904124443289e-06 1.007090887028e+152
5.712281140570e-02 -8.432238401539e-08 3.785681905712e-08 0.000000000000e+00 0.000000000000e+00 9.902428603212e-06 1.007090887028e+152
5.762301150575e-02 -8.430336610720e-08 3.818436493496e-08 0.000000000000e+00 0.000000000000e+00 9.900718044237e-06 1.007090887028e+152
5.812321160580e-02 -8.428418438624e-08 3.851180782746e-08 0.000000000000e+00 0.000000000000e+00 9.898992771507e-06 1.007090887028e+152
5.862341170585e-02 -8.426483890426e-08 3.883914685502e-08 0.000000000000e+00 0.000000000000e+00 9.897252790206e-06 1.007090887028e+152
5.912361180590e-02 -8.424532971342e-08 3.916638113844e-08 0.000000000000e+00 0.000000000000e+00 9.895498105565e-06 1.007090887028e+152
5.962381190595e-02 -8.422565686634e-08 3.949350979888e-08 0.000000000000e+00 0.000000000000e+00 9.893728722858e-06 1.007090887028e+152
6.012401200600e-02 -8.420582041607e-08 3.982053195787e-08 0.000000000000e+00 0.000000000000e+00 9.891944647404e-06 1.007090887028e+152
6.062421210605e-02 -8.418582041610e-08 4.014744673734e-08 0.000000000000e+00 0.000000000000e+00 9.890145884565e-06 1.007090887028e+152
6.112441220610e-02 -8.416565692037e-08 4.047425325958e-08 0.000000000000e+00 0.000000000000e+00 9.888332439749e-06 1.007090887028e+152
6.162461230615e-02 -8.414532998324e-08 4.080095064731e-08 0.000000000000e+00 0.000000000000e+00 9.886504318407e-06 1.007090887028e+152
6.212481240620e-02 -8.412483965952e-08 4.112753802358e-08 0.000000000000e+00 0.000000000000e+00 9.884661526035e-06 1.007090887028e+152
6.262501250625e-02 -8.410418600446e-08 4.145401451190e-08 0.000000000000e+00 0.000000000000e+00 9.882804068173e-06 1.007090887028e+152
6.312521260630e-02 -8.408336907374e-08 4.178037923612e-08 0.000000000000e+00 0.000000000000e+00 9.880931950404e-06 1.007090887028e+152
6.362541270635e-02 -8.406238892349e-08 4.210663132052e-08 0.000000000000e+00 0.000000000000e+00 9.879045178357e-06 1.007090887028e+152
6.412561280640e-02 -8.404124561027e-08 4.243276988978e-08 0.000000000000e+00 0.000000000000e+00 9.877143757705e-06 1.007090887028e+152
6.462581290645e-02 -8.401993919108e-08 4.275879406899e-08 0.000000000000e+00 0.000000000000e+00 9.875227694163e-06 1.007090887028e+152
6.512601300650e-02 -8.399846972335e-08 4.308470298365e-08 0.000000000000e+00 0.000000000000e+00 9.873296993493e-06 1.007090887028e+152
6.562621310655e-02 -8.397683726495e-08 4.341049575964e-08 0.000000000000e+00 0.000000000000e+00 9.871351661499e-06 1.007090887028e+152
6.612641320660e-02 -8.395504187421e-08 4.373617152331e-08 0.000000000000e+00 0.000000000000e+00 9.869391704030e-06 1.007090887028e+152
6.662661330665e-02 -8.393308360987e-08 4.406172940139e-08 0.000000000000e+00 0.000000000000e+00 9.867417126980e-06 1.007090887028e+152
6.712681340670e-02 -8.391096253110e-08 4.438716852106e-08 0.000000000000e+00 0.000000000000e+00 9.865427936285e-06 1.007090887028e+152
6.762701350675e-02 -8.388867869754e-08 4.471248800989e-08 0.000000000000e+00 0.000000000000e+00 9.863424137927e-06 1.007090887028e+152
6.812721360680e-02 -8.386623216924e-08 4.503768699590e-08 0.000000000000e+00 0.000000000000e+00 9.861405737931e-06 1.007090887028e+152
6.862741370685e-02 -8.384362300670e-08 4.536276460756e-08 0.000000000000e+00 0.000000000000e+00 9.859372742366e-06 1.007090887028e+152
6.912761380690e-02 -8.382085127083e-08 4.568771997374e-08 0.000000000000e+00 0.000000000000e+00 9.857325157346e-06 1.007090887028e+152
6.962781390695e-02 -8.379791702302e-08 4.601255222377e-08 0.000000000000e+00 0.000000000000e+00 9.855262989028e-06 1.007090887028e+152
7.012801400700e-02 -8.377482032505e-08 4.633726048741e-08 0.000000000000e+00 0.000000000000e+00 9.853186243613e-06 1.007090887028e+152
7.062821410705e-02 -8.375156123917e-08 4.666184389488e-08 0.000000000000e+00 0.000000000000e+00 9.851094927346e-06 1.007090887028e+152
7.112841420710e-02 -8.372813982805e-08 4.698630157682e-08 0.000000000000e+00 0.000000000000e+00 9.848989046518e-06 1.007090887028e+152
7.162861430715e-02 -8.370455615478e-08 4.731063266435e-08 0.000000000000e+00 0.000000000000e+00 9.846868607461e-06 1.007090887028e+152
7.212881440720e-02 -8.368081028292e-08 4.763483628903e-08 0.000000000000e+00 0.000000000000e+00 9.844733616552e-06 1.007090887028e+152
7.262901450725e-02 -8.365690227642e-08 4.795891158288e-08 0.000000000000e+00 0.000000000000e+00 9.842584080213e-06 1.007090887028e+152
7.312921460730e-02 -8.363283219971e-08 4.828285767837e-08 0.000000000000e+00 0.000000000000e+00 9.840420004908e-06 1.007090887028e+152
7.362941470735e-02 -8.360860011763e-08 4.860667370844e-08 0.000000000000e+00 0.000000000000e+00 9.838241397146e-06 1.007090887028e+152
7.412961480740e-02 -8.358420609544e-08 4.893035880651e-08 0.000000000000e+00 0.000000000000e+00 9.836048263480e-06 1.007090887028e+152
7.462981490745e-02 -8.355965019886e-08 4.925391210644e-08 0.000000000000e+00 0.000000000000e+00 9.833840610507e-06 1.007090887028e+152
7.513001500750e-02 -8.353493249403e-08 4.957733274260e-08 0.000000000000e+00 0.000000000000e+00 9.831618444866e-06 1.007090887028e+152
7.563021510755e-02 -8.351005304753e-08 4.990061984980e-08 0.000000000000e+00 0.000000000000e+00 9.829381773243e-06 1.007090887028e+152
7.613041520760e-02 -8.348501192636e-08 5.022377256334e-08 0.000000000000e+00 0.000000000000e+00 9.827130602365e-06 1.007090887028e+152
7.663061530765e-02 -8.345980919796e-08 5.054679001902e-08 0.000000000000e+00 0.000000000000e+00 9.824864939005e-06 1.007090887028e+152
7.713081540770e-02 -8.343444493020e-08 5.086967135311e-08 0.000000000000e+00 0.000000000000e+00 9.822584789976e-06 1.007090887028e+152
7.763101550775e-02 -8.340891919140e-08 5.119241570235e-08 0.000000000000e+00 0.000000000000e+00 9.820290162140e-06 1.007090887028e+152
7.813121560780e-02 -8.338323205027e-08 5.151502220401e-08 0.000000000000e+00 0.000000000000e+00 9.817981062399e-06 1.007090887028e+152
7.863141570785e-02 -8.335738357600e-08 5.183748999583e-08 0.000000000000e+00 0.000000000000e+00 9.815657497700e-06 1.007090887028e+152
7.913161580790e-02 -8.333137383818e-08 5.215981821604e-08 0.000000000000e+00 0.000000000000e+00 9.813319475032e-06 1.007090887028e+152
7.963181590795e-02 -8.330520290684e-08 5.248200600340e-08 0.000000000000e+00 0.000000000000e+00 9.810967001432e-06 1.007090887028e+152
8.013201600800e-02 -8.327887085243e-08 5.280405249714e-08 0.000000000000e+00 0.000000000000e+00 9.808600083975e-06 1.007090887028e+152
8.063221610805e-02 -8.325237774585e-08 5.312595683702e-08 0.000000000000e+00 0.000000000000e+00 9.806218729784e-06 1.007090887028e+152
8.113241620810e-02 -8.322572365843e-08 5.344771816331e-08 0.000000000000e+00 0.000000000000e+00 9.803822946024e-06 1.007090887028e+152
8.163261630815e-02 -8.319890866190e-08 5.376933561678e-08 0.000000000000e+00 0.000000000000e+00 9.801412739903e-06 1.007090887028e+152
8.213281640820e-02 -8.317193282845e-08 5.409080833872e-08 0.000000000000e+00 0.000000000000e+00 9.798988118674e-06 1.007090887028e+152
8.263301650825e-02 -8.314479623069e-08 5.441213547094e-08 0.000000000000e+00 0.000000000000e+00 9.796549089633e-06 1.007090887028e+152
8.313321660830e-02 -8.311749894165e-08 5.473331615578e-08 0.000000000000e+00 0.000000000000e+00 9.794095660118e-06 1.007090887028e+152
8.363341670835e-02 -8.309004103481e-08 5.505434953609e-08 0.000000000000e+00 0.000000000000e+00 9.791627837514e-06 1.007090887028e+152
8.413361680840e-02 -8.306242258406e-08 5.537523475527e-08 0.000000000000e+00 0.000000000000e+00 9.789145629245e-06 1.007090887028e+152
8.463381690845e-02 -8.303464366373e-08 5.569597095723e-08 0.000000000000e+00 0.000000000000e+00 9.786649042783e-06 1.007090887028e+152
8.513401700850e-02 -8.300670434856e-08 5.601655728643e-08 0.000000000000e+00 0.000000000000e+00 9.784138085641e-06 1.007090887028e+152
8.563421710855e-02 -8.297860471374e-08 5.633699288786e-08 0.000000000000e+00 0.000000000000e+00 9.781612765375e-06 1.007090887028e+152
8.613441720860e-02 -8.295034483488e-08 5.665727690705e-08 0.000000000000e+00 0.000000000000e+00 9.779073089586e-06 1.007090887028e+152
8.663461730865e-02 -8.292192478800e-08 5.697740849008e-08 0.000000000000e+00 0.000000000000e+00 9.776519065918e-06 1.007090887028e+152
8.713481740870e-02 -8.289334464958e-08 5.729738678357e-08 0.000000000000e+00 0.000000000000e+00 9.773950702057e-06 1.007090887028e+152
8.763501750875e-02 -8.286460449650e-08 5.761721093470e-08 0.000000000000e+00 0.000000000000e+00 9.771368005735e-06 1.007090887028e+152
8.813521760880e-02 -8.283570440607e-08 5.793688009119e-08 0.000000000000e+00 0.000000000000e+00 9.768770984725e-06 1.007090887028e+152
8.863541770885e-02 -8.280664445605e-08 5.825639340134e-08 0.000000000000e+00 0.000000000000e+00 9.766159646844e-06 1.007090887028e+152
8.913561780890e-02 -8.277742472458e-08 5.857575001397e-08 0.000000000000e+00 0.000000000000e+00 9.763533999953e-06 1.007090887028e+152
8.963581790895e-02 -8.274804529028e-08 5.889494907851e-08 0.000000000000e+00 0.000000000000e+00 9.760894051955e-06 1.007090887028e+152
9.013601800900e-02 -8.271850623215e-08 5.921398974491e-08 0.000000000000e+00 0.000000000000e+00 9.758239810799e-06 1.007090887028e+152
9.063621810905e-02 -8.268880762964e-08 5.953287116373e-08 0.000000000000e+00 0.000000000000e+00 9.755571284473e-06 1.007090887028e+152
9.113641820910e-02 -8.265894956262e-08 5.985159248606e-08 0.000000000000e+00 0.000000000000e+00 9.752888481013e-06 1.007090887028e+152
9.163661830915e-02 -8.262893211138e-08 6.017015286361e-08 0.000000000000e+00 0.000000000000e+00 9.750191408494e-06 1.007090887028e+152
9.213681840920e-02 -8.259875535663e-08 6.048855144864e-08 0.000000000000e+00 0.000000000000e+00 9.747480075037e-06 1.007090887028e+152
9.263701850925e-02 -8.256841937952e-08 6.080678739398e-08 0.000000000000e+00 0.000000000000e+00 9.744754488804e-06 1.007090887028e+152
9.313721860930e-02 -8.253792426161e-08 6.112485985308e-08 0.000000000000e+00 0.000000000000e+00 9.742014658003e-06 1.007090887028e+152
9.363741870935e-02 -8.250727008489e-08 6.144276797994e-08 0.000000000000e+00 0.000000000000e+00 9.739260590883e-06 1.007090887028e+152
9.413761880940e-02 -8.247645693177e-08 6.176051092918e-08 0.000000000000e+00 0.000000000000e+00 9.736492295737e-06 1.007090887028e+152
9.463781890945e-02 -8.244548488508e-08 6.207808785600e-08 0.000000000000e+00 0.000000000000e+00 9.733709780899e-06 1.007090887028e+152
9.513801900950e-02 -8.241435402808e-08 6.239549791620e-08 0.000000000000e+00 0.000000000000e+00 9.730913054750e-06 1.007090887028e+152
9.563821910955e-02 -8.238306444445e-08 6.271274026616e-08 0.000000000000e+00 0.000000000000e+00 9.728102125710e-06 1.007090887028e+152
9.613841920960e-02 -8.235161621827e-08 6.302981406290e-08 0.000000000000e+00 0.000000000000e+00 9.725277002245e-06 1.007090887028e+152
9.663861930965e-02 -8.232000943409e-08 6.334671846401e-08 0.000000000000e+00 0.000000000000e+00 9.722437692863e-06 1.007090887028e+152
9.713881940970e-02 -8.228824417683e-08 6.366345262771e-08 0.000000000000e+00 0.000000000000e+00 9.719584206115e-06 1.007090887028e+152
9.763901950975e-02 -8.225632053186e-08 6.398001571283e-08 0.000000000000e+00 0.000000000000e+00 9.716716550594e-06 1.007090887028e+152
